Ligand ID,Ligand Image,Ligand Formula,Ligand MW,Ligand Name,Ligand SMILES,PDB IDs Total,PDB IDs Free Ligand,PDB IDs Polymeric Ligand,Instance PDB IDs (All),Instance PDB IDs as Free Ligand,Instance PDB IDs as part of a polymer
"MYR","MYR","C14 H28 O2","228.37","MYRISTIC ACID","CCCCCCCCCCCCCC(O)=O","215","196","19","1AL2,1AR6,1AR7,1AR8,1AR9,1ASJ,1AYM,1AYN,1BEV,1BJ5,1BKE,1CDK,1CMK,1COV,1CTP,1D4M,1DGI,1E7C,1E7G,1EAH,1EV1,1FK2,1H8T,1H9G,1H9Z,1HA2,1HBK,1HK4,1HK5,1HXS,1ICM,1IKU,1JSA,1L7Z,1LA3,1N5U,1NCR,1ND2,1NFP,1NN8,1O9X,1OOP,1OPJ,1OPK,1OPL,1P42,1PIV,1PO1,1PO2,1POV,1PVC,1PZL,1QA5,1QFF,1QFG,1QJU,1QJX,1QJY,1TCO,1TED,1UPH,1UVA,1V26,1VBA,1VBB,1VBC,1VBD,1VBE,1WC8,1WC9,1XDA,1Z7S,2AF9,2AG2,2AG9,2AGC,2BAO,2BAU,2BXI,2BXK,2BXL,2BXM,2BXN,2BXO,2BXP,2BXQ,2E56,2FO0,2GO3,2GRX,2H3I,2H3Q,2I2Z,2I30,2J65,2JMG,2K4H,2K4I,2K5U,2KSQ,2L2E,2L90,2LPY,2MV4,2N1R,2NA0,2NV3,2PLV,2PWN,2R2I,2WEW,2XSI,2XVV,2XVW,3A73,3B9L,3B9M,3CX9,3EE4,3EPC,3EPD,3EPF,3FS1,3FXI,3IYL,3J3O,3J8F,3J9F,3JBC,3JBD,3JBE,3JBF,3JBG,3L94,3MLM,3PXP,3SQJ,3SRA,3SZ1,3TB8,3TDL,3UEV,3UIV,3USX,3V2N,3VQ2,3W9K,4AC8,4CU4,4D65,4DFX,4DFZ,4DG0,4DG2,4G0S,4G8A,4GB3,4HPU,4IQR,4KU3,4L8U,4LB9,4NTS,4Q4Y,4RDZ,4RE0,4TKH,4X6R,4ZFZ,4ZV5,5EZU,5FVN,5GTO,5GTP,5HTD,5HYB,5IFO,5IJD,5K06,5L7K,5LDL,5LKE,5LKF,5LMY,5O9S,5O9U,5O9V,5OAQ,5T7C,5TV4,5TVI,5UC9,5UR9,5W78,5W7B,5W7D,5WOO,5YHJ,5ZVT,6B80,6BPL,6BPP,6DY1,6FYJ,6GE3,6GE4,6GE5,6GE6,6GEC,6GEE,6GEG,6GEI,6GEK,6GK6,6H6A","1AL2,1AR6,1AR7,1AR8,1AR9,1ASJ,1AYM,1AYN,1BEV,1BJ5,1BKE,1CDK,1CMK,1COV,1CTP,1D4M,1E7C,1E7G,1EAH,1EV1,1FK2,1H8T,1H9G,1H9Z,1HA2,1HBK,1HK4,1HK5,1HXS,1ICM,1IKU,1JSA,1L7Z,1LA3,1N5U,1NCR,1ND2,1NFP,1NN8,1O9X,1OOP,1OPJ,1OPK,1OPL,1P42,1PIV,1PO1,1PO2,1POV,1PVC,1PZL,1QFF,1QFG,1QJU,1QJX,1QJY,1TCO,1TED,1UVA,1V26,1VBA,1VBB,1VBC,1VBD,1VBE,1WC8,1WC9,1XDA,1Z7S,2AF9,2AG2,2AG9,2AGC,2BAO,2BAU,2BXI,2BXK,2BXL,2BXM,2BXN,2BXO,2BXP,2BXQ,2E56,2FO0,2GO3,2GRX,2H3I,2H3Q,2I2Z,2I30,2J65,2JMG,2K4H,2K4I,2L90,2LPY,2NV3,2PLV,2PWN,2R2I,2WEW,2XSI,2XVV,2XVW,3A73,3B9L,3B9M,3CX9,3EE4,3EPC,3EPD,3EPF,3FS1,3FXI,3IYL,3J3O,3L94,3MLM,3PXP,3SQJ,3SRA,3SZ1,3TDL,3UEV,3UIV,3USX,3V2N,3VQ2,3W9K,4AC8,4CU4,4D65,4DFX,4DFZ,4DG0,4DG2,4G0S,4G8A,4GB3,4HPU,4IQR,4KU3,4L8U,4LB9,4NTS,4Q4Y,4RDZ,4RE0,4TKH,4X6R,4ZFZ,4ZV5,5EZU,5FVN,5GTO,5GTP,5HTD,5HYB,5IFO,5IJD,5K06,5L7K,5LDL,5LKE,5LKF,5O9S,5O9U,5O9V,5OAQ,5TV4,5TVI,5UC9,5UR9,5W78,5W7B,5W7D,5WOO,5YHJ,5ZVT,6B80,6BPL,6BPP,6DY1,6FYJ,6GE3,6GE4,6GE5,6GE6,6GEC,6GEE,6GEG,6GEI,6GEK,6GK6,6H6A","1DGI,1QA5,1UPH,2K5U,2KSQ,2L2E,2MV4,2N1R,2NA0,3J8F,3J9F,3JBC,3JBD,3JBE,3JBF,3JBG,3TB8,5LMY,5T7C"
"MYS","MYS","C15 H32","212.41","PENTADECANE","CCCCCCCCCCCCCCC","43","43","0","1EVY,1EVZ,1JDJ,1KPL,3V5U,4GH0,4H13,4H2Z,4H44,4I7Z,4OGQ,4PV1,4QNC,4QND,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5HWX,5HWY,5HXC,5HXE,5HXH,5HXR,5HXS,5HYA,5JDF,5JDG,5JDH,5JDL,5JDM,5JDN,5JDQ","1EVY,1EVZ,1JDJ,1KPL,3V5U,4GH0,4H13,4H2Z,4H44,4I7Z,4OGQ,4PV1,4QNC,4QND,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5HWX,5HWY,5HXC,5HXE,5HXH,5HXR,5HXS,5HYA,5JDF,5JDG,5JDH,5JDL,5JDM,5JDN,5JDQ",""
"O8N","O8N","C28 H58 O","410.76","octacosan-1-ol","CCCCCCCCCCCCCCCCCCCCCCCCCCCCO","1","1","0","5TVI","5TVI",""
"OC9","OC9","C8 H18 O","130.23","OCTAN-1-OL","CCCCCCCCO","3","3","0","1ZNH,2QHV,4I76","1ZNH,2QHV,4I76",""
"OCA","OCA","C8 H16 O2","144.21","OCTANOIC ACID (CAPRYLIC ACID)","CCCCCCCC(O)=O","22","22","0","1H2B,1U8U,1V2G,2BUI,2EUM,2QHS,2WG9,3L91,3NQ9,3WL8,4RW3,4RW5,5EFI,5F2K,5KP2,5TID,5TIE,5TIF,5X52,5Z0B,6B81,6F65","1H2B,1U8U,1V2G,2BUI,2EUM,2QHS,2WG9,3L91,3NQ9,3WL8,4RW3,4RW5,5EFI,5F2K,5KP2,5TID,5TIE,5TIF,5X52,5Z0B,6B81,6F65",""
"OCD","OCD","C18 H36 O","268.48","octadecanal","CCCCCCCCCCCCCCCCCC=O","1","1","0","5K52","5K52",""
"OCT","OCT","C8 H18","114.23","N-OCTANE","CCCCCCCC","70","70","0","1APM,1BRR,1CWQ,1IEK,1IEY,1JBP,1JLU,1K9Q,1KPL,1RE8,1SX6,1XJI,1Y5M,2EUK,2EUM,2EVD,2EVL,2GFC,2GSK,2J58,2VDF,2WJQ,2WJR,2XE5,2YNK,3A7A,3DSI,3DSJ,3DSK,3HAS,3RHW,3RI5,3RIA,3RIF,4DX5,4FQE,4H13,4H44,4HYX,4I35,4I7Z,4OGQ,4PR7,5AJI,5AWZ,5B2N,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5FP2,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5JMN,5LDV,5T6Q,5XDN,5XDO,6C93,6EUQ","1APM,1BRR,1CWQ,1IEK,1IEY,1JBP,1JLU,1K9Q,1KPL,1RE8,1SX6,1XJI,1Y5M,2EUK,2EUM,2EVD,2EVL,2GFC,2GSK,2J58,2VDF,2WJQ,2WJR,2XE5,2YNK,3A7A,3DSI,3DSJ,3DSK,3HAS,3RHW,3RI5,3RIA,3RIF,4DX5,4FQE,4H13,4H44,4HYX,4I35,4I7Z,4OGQ,4PR7,5AJI,5AWZ,5B2N,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5FP2,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5JMN,5LDV,5T6Q,5XDN,5XDO,6C93,6EUQ",""
"OYA","OYA","C8 H16 O","128.21","OCTANAL","CCCCCCCC=O","2","2","0","2QHU,5AZP","2QHU,5AZP",""
"PL3","PL3","C16 H34 O","242.44","HEXADECAN-1-OL","CCCCCCCCCCCCCCCCO","5","5","0","2UUU,2UUV,4QUW,4RC5,4RC7","2UUU,2UUV,4QUW,4RC5,4RC7",""
"PLM","PLM","C16 H32 O2","256.42","PALMITIC ACID","CCCCCCCCCCCCCCCC(O)=O","321","320","1","1ACA,1B0O,1B56,1BE2,1COV,1E12,1E7H,1EH5,1EV1,1GXA,1GZM,1HXS,1HZX,1JTB,1L9H,1LIE,1LV2,1M66,1M67,1MDC,1MGP,1MZM,1N1G,1NVL,1O6U,1O8V,1PQ2,1PZ4,1PZX,1SZ7,1U19,1URE,1VPV,2C0J,2CFH,2DEB,2DQY,2DQZ,2DT8,2E9L,2E9M,2FIK,2G87,2GO3,2HMB,2HNX,2HPY,2I35,2I36,2IER,2IES,2IFB,2IU8,2IU9,2IUA,2J3R,2J3T,2J3W,2JAF,2JAG,2KSI,2M5P,2M5Q,2NBN,2NNH,2NNI,2NNJ,2NWL,2NWX,2PED,2PFC,2Q7Y,2QZT,2RH1,2UUH,2UUI,2UWH,2VN0,2W3Y,2WUT,2X72,2Z6V,2Z73,2ZIY,2ZOX,2ZWS,3AWM,3AWP,3AWQ,3AYM,3AYN,3B2H,3B2I,3B2J,3B2K,3B2L,3BDQ,3BFH,3BKR,3BKS,3C9L,3CAP,3CUE,3DBX,3DQB,3EGL,3EPY,3FYS,3G08,3GML,3GMM,3GMN,3GMO,3GMP,3GMQ,3GMR,3HKK,3HRQ,3IB3,3III,3J9F,3JBC,3JBD,3JBE,3JBF,3JBG,3JD7,3K3C,3KXC,3L1N,3LEO,3LSJ,3MA7,3NR3,3O19,3O22,3O2Y,3OAX,3OCJ,3PL5,3PQR,3PXO,3QH0,3QLM,3R1O,3R1P,3STK,3STM,3TZY,3U3L,3U3N,3UEW,3V2Q,3VG2,3VG3,3VG4,3VG5,3VG6,3VG7,3VKK,4A1H,4A1Y,4A2N,4A4M,4A8Z,4AL0,4AL1,4BEY,4BEZ,4BKE,4BVM,4D6A,4D6B,4DOL,4ELM,4EP9,4GB3,4HR0,4HR4,4HR5,4IB4,4J4Q,4JAO,4JAP,4JAQ,4JAT,4JC7,4JCZ,4JD3,4JGX,4JIV,4JJ2,4JRZ,4KU0,4KVL,4KVQ,4N03,4NC3,4NTA,4NTB,4NTF,4OSD,4OUG,4PXF,4RSC,4RSE,4RW3,4RW5,4RYX,4RYY,4RYZ,4TKJ,4WW3,4X1H,4XB9,4XBV,4XBW,4XCP,4Y1K,4Z69,4ZFB,5AZB,5B27,5B28,5B29,5BWO,5CA6,5D1W,5D5A,5D5B,5D6L,5DCO,5DCR,5DCS,5DIC,5DQQ,5DYS,5E7X,5EFI,5EKB,5EN0,5F2T,5F2Z,5F31,5FUK,5GIX,5GIY,5GN0,5GP9,5HGU,5I9K,5IA9,5IUY,5J5K,5JNQ,5LGD,5LJG,5MKE,5MKF,5N4M,5N4P,5N4Q,5NCC,5NSW,5NTY,5NU2,5NU6,5NU8,5NU9,5OCE,5OMJ,5OMK,5TE3,5TW2,5TW5,5UL5,5ULG,5UTO,5VCJ,5VNW,5VRG,5VRH,5W78,5YB1,5YS3,6A93,6A94,6ADQ,6AQ1,6AQ3,6BML,6BMS,6C5M,6C69,6C6H,6C6J,6D4J,6E1H,6E1K,6E1M,6E1N,6E1P,6EW2,6EW4,6EW5,6F6C,6F6E,6F6F,6F6G,6F6H,6F6L,6F6M,6FK6,6FK7,6FK8,6FK9,6FKA,6FKB,6FKC,6FKD,6QI7","1ACA,1B0O,1B56,1BE2,1COV,1E12,1E7H,1EH5,1EV1,1GXA,1GZM,1HXS,1HZX,1JTB,1L9H,1LIE,1LV2,1M66,1M67,1MDC,1MGP,1MZM,1N1G,1NVL,1O6U,1O8V,1PQ2,1PZ4,1PZX,1SZ7,1U19,1URE,1VPV,2C0J,2CFH,2DEB,2DQY,2DQZ,2DT8,2E9L,2E9M,2FIK,2G87,2GO3,2HMB,2HNX,2HPY,2I35,2I36,2IER,2IES,2IFB,2IU8,2IU9,2IUA,2J3R,2J3T,2J3W,2JAF,2JAG,2KSI,2M5P,2M5Q,2NBN,2NNH,2NNI,2NNJ,2NWL,2NWX,2PED,2PFC,2Q7Y,2QZT,2RH1,2UUH,2UUI,2UWH,2VN0,2W3Y,2WUT,2X72,2Z6V,2Z73,2ZIY,2ZOX,2ZWS,3AWM,3AWP,3AWQ,3AYM,3AYN,3B2H,3B2I,3B2J,3B2K,3B2L,3BDQ,3BFH,3BKR,3BKS,3C9L,3CAP,3CUE,3DBX,3DQB,3EGL,3EPY,3FYS,3G08,3GML,3GMM,3GMN,3GMO,3GMP,3GMQ,3GMR,3HKK,3HRQ,3IB3,3III,3J9F,3JBC,3JBD,3JBE,3JBF,3JBG,3JD7,3K3C,3KXC,3L1N,3LEO,3LSJ,3MA7,3NR3,3O19,3O22,3O2Y,3OAX,3OCJ,3PL5,3PQR,3PXO,3QH0,3QLM,3R1O,3R1P,3STK,3STM,3TZY,3U3L,3U3N,3UEW,3V2Q,3VG2,3VG3,3VG4,3VG5,3VG6,3VG7,3VKK,4A1H,4A1Y,4A2N,4A4M,4A8Z,4AL0,4AL1,4BEY,4BEZ,4BKE,4BVM,4D6A,4D6B,4DOL,4ELM,4EP9,4GB3,4HR0,4HR4,4HR5,4IB4,4J4Q,4JAO,4JAP,4JAQ,4JAT,4JC7,4JCZ,4JD3,4JGX,4JIV,4JJ2,4JRZ,4KU0,4KVL,4KVQ,4N03,4NC3,4NTA,4NTB,4NTF,4OSD,4OUG,4PXF,4RSC,4RSE,4RW3,4RW5,4RYX,4RYY,4RYZ,4TKJ,4WW3,4X1H,4XB9,4XBV,4XBW,4XCP,4Y1K,4Z69,4ZFB,5AZB,5B27,5B28,5B29,5BWO,5CA6,5D1W,5D5A,5D5B,5D6L,5DCO,5DCR,5DCS,5DIC,5DQQ,5DYS,5E7X,5EFI,5EKB,5EN0,5F2T,5F2Z,5F31,5FUK,5GIX,5GIY,5GN0,5GP9,5HGU,5I9K,5IA9,5IUY,5J5K,5JNQ,5LGD,5LJG,5MKE,5MKF,5N4M,5N4P,5N4Q,5NCC,5NSW,5NTY,5NU2,5NU6,5NU8,5NU9,5OCE,5OMJ,5OMK,5TE3,5TW2,5TW5,5UL5,5ULG,5UTO,5VCJ,5VNW,5VRG,5VRH,5W78,5YB1,5YS3,6A93,6A94,6ADQ,6AQ1,6AQ3,6BML,6BMS,6C5M,6C69,6C6H,6C6J,6D4J,6E1K,6E1M,6E1N,6E1P,6EW2,6EW4,6EW5,6F6C,6F6E,6F6F,6F6G,6F6H,6F6L,6F6M,6FK6,6FK7,6FK8,6FK9,6FKA,6FKB,6FKC,6FKD,6QI7","6E1H"
"R16","R16","C16 H34","226.44","HEXADECANE","CCCCCCCCCCCCCCCC","12","12","0","1Z5L,2ZYH,3HAP,3HAQ,3HAS,4Y9H,5AX0,5AX1,5B34,5B35,6CQ8,6CQ9","1Z5L,2ZYH,3HAP,3HAQ,3HAS,4Y9H,5AX0,5AX1,5B34,5B35,6CQ8,6CQ9",""
"SHV","SHV","C7 H14 O2","130.18","HEPTANOIC ACID","CCCCCCC(O)=O","5","4","1","1PO8,4Q95,4RW3,5XNA,6BBA","1PO8,4Q95,4RW3,5XNA","6BBA"
"STE","STE","C18 H36 O2","284.48","STEARIC ACID","CCCCCCCCCCCCCCCCCC(O)=O","33","33","0","1E7I,1FK4,1HMT,1K4W,1LIF,1UVC,1XXS,2FVA,2WH5,2ZYI,3CJD,3EML,3FLV,3NYI,3UEX,3V2P,3VG9,3WVM,3WXQ,4FNN,4GF9,4JIV,4JJ2,4KU0,4OSD,4RC8,4TW3,4WBK,5C8C,5C9J,5K53,5UWZ,6MSZ","1E7I,1FK4,1HMT,1K4W,1LIF,1UVC,1XXS,2FVA,2WH5,2ZYI,3CJD,3EML,3FLV,3NYI,3UEX,3V2P,3VG9,3WVM,3WXQ,4FNN,4GF9,4JIV,4JJ2,4KU0,4OSD,4RC8,4TW3,4WBK,5C8C,5C9J,5K53,5UWZ,6MSZ",""
"TDA","TDA","C13 H26 O2","214.34","N-TRIDECANOIC ACID","CCCCCCCCCCCCC(O)=O","7","7","0","1QLL,1TC8,1TP2,4RW3,4RW5,4XU6,6GHH","1QLL,1TC8,1TP2,4RW3,4RW5,4XU6,6GHH",""
"TRD","TRD","C13 H28","184.36","TRIDECANE","CCCCCCCCCCCCC","26","26","0","1CWQ,2GSM,3DTU,3FYE,3FYI,3OM3,3OMA,3OMI,3OMN,4XDJ,4ZR1,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,6CI0","1CWQ,2GSM,3DTU,3FYE,3FYI,3OM3,3OMA,3OMI,3OMN,4XDJ,4ZR1,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,6CI0",""
"TWT","TWT","C22 H46","310.60","DOCOSANE","CCCCCCCCCCCCCCCCCCCCCC","4","4","0","1GZP,1GZQ,2Z73,4WW3","1GZP,1GZQ,2Z73,4WW3",""
"UNA","UNA","C11 H22 O","170.29","UNDECANAL","CCCCCCCCCCC=O","2","2","0","1E02,1GT4","1E02,1GT4",""
"UND","UND","C11 H24","156.31","UNDECANE","CCCCCCCCCCC","29","29","0","1CWQ,1Y9L,3RHW,3RI5,3RIA,3RIF,3U0P,3UKM,3USG,4CZA,4DX5,4FXZ,5A1S,5B6V,5B6W,5B6X,5B6Y,5B6Z,5EJZ,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5V7P","1CWQ,1Y9L,3RHW,3RI5,3RIA,3RIF,3U0P,3UKM,3USG,4CZA,4DX5,4FXZ,5A1S,5B6V,5B6W,5B6X,5B6Y,5B6Z,5EJZ,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5V7P",""
"X90","X90","C17 H34 O2","270.45","heptadecanoic acid","CCCCCCCCCCCCCCCCC(O)=O","2","2","0","5UXY,6GF9","5UXY,6GF9",""


